City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,paita,-5.0892,-81.1144,24.03,73,92,6.53,PE,1738098732
1,st. john's,47.5649,-52.7093,4.43,92,100,4.02,CA,1738098733
2,nova vicosa,-17.8919,-39.3719,26.75,77,99,4.69,BR,1738098734
3,nemuro,43.3236,145.575,-2.13,78,5,5.13,JP,1738098735
4,rawai,7.7797,98.3253,26.31,76,96,11.15,TH,1738098736
5,yellowknife,62.456,-114.3525,-9.71,92,100,5.66,CA,1738098737
6,uturoa,-16.7333,-151.4333,28.06,71,96,7.36,PF,1738098738
7,semdinli,37.3051,44.5742,-4.74,80,2,3.14,TR,1738098739
8,talnakh,69.4865,88.3972,-25.21,85,11,3.37,RU,1738098772
9,grytviken,-54.2811,-36.5092,9.62,60,21,4.64,GS,1738098773
10,portland,45.5234,-122.6762,11.01,46,0,3.13,US,1738098622
11,altai,46.3722,96.2583,-15.43,58,22,1.42,MN,1738098775
12,edinburgh of the seven seas,-37.0676,-12.3116,14.28,72,67,13.86,SH,1738098776
13,porto novo,6.4965,2.6036,27.26,78,14,3.4,BJ,1738098777
14,thompson,55.7435,-97.8558,-16.93,87,100,3.47,CA,1738098778
15,nuku'alofa,-21.1333,-175.2,25.56,78,100,7.12,TO,1738098779
16,hithadhoo,-0.6,73.0833,27.9,78,100,6.3,MV,1738098780
17,manziana,42.1321,12.1264,9.15,87,9,4.47,IT,1738098781
18,adamstown,-25.066,-130.1015,25.22,67,0,2.32,PN,1738098782
19,mugia,43.1041,-9.2179,11.62,73,100,11.79,ES,1738098783
20,invercargill,-46.4,168.35,16.68,64,31,6.26,NZ,1738098785
21,puerto natales,-51.7236,-72.4875,17.25,45,100,10.8,CL,1738098786
22,bredasdorp,-34.5322,20.0403,21.96,84,96,8.61,ZA,1738098787
23,keflavik,64.0049,-22.5624,-3.76,86,40,2.57,IS,1738098788
24,el nido,11.1858,119.3956,24.52,90,100,2.24,PH,1738098789
25,papatowai,-46.5619,169.4708,17.02,57,42,6.95,NZ,1738098790
26,lebu,-37.6167,-73.65,16.43,66,2,8.7,CL,1738098791
27,longyearbyen,78.2186,15.6401,-1.09,69,75,7.72,SJ,1738098792
28,isafjordur,66.0755,-23.124,-6.27,90,90,1.15,IS,1738098793
29,hasaki,35.7333,140.8333,6.55,67,52,5.01,JP,1738098794
30,huarmey,-10.0681,-78.1522,23.85,77,97,3.82,PE,1738098795
31,tashtagol,52.7657,87.8894,-10.14,96,100,1.72,RU,1738098796
32,west island,-12.1568,96.8225,27.99,89,75,3.6,CC,1738098797
33,gunnedah,-30.9833,150.25,22.83,78,0,3.1,AU,1738098798
34,hawaiian paradise park,19.5933,-154.9731,23.18,85,100,3.6,US,1738098800
35,vilyuchinsk,52.9306,158.4028,-0.85,79,100,3.73,RU,1738098801
36,yerofey pavlovich,53.9667,121.9667,-27.48,97,30,1.77,RU,1738098802
37,tari,-11.1105,14.3559,17.86,92,100,0.65,AO,1738098803
38,port-aux-francais,-49.35,70.2167,5.77,93,98,13.91,TF,1738098804
39,tromso,69.6496,18.957,1.01,69,75,7.2,NO,1738098805
40,bilibino,68.0546,166.4372,-38.48,99,46,1.33,RU,1738098806
41,cabo san lucas,22.8909,-109.9124,25.17,57,40,2.57,MX,1738098585
42,dryden,49.7833,-92.7503,-5.95,94,100,3.78,CA,1738098809
43,paracuru,-3.41,-39.0306,26.85,80,54,4.62,BR,1738098810
44,albany,42.6001,-73.9662,-4.64,44,90,1.34,US,1738098747
45,ushuaia,-54.8,-68.3,9.8,88,100,2.9,AR,1738098812
46,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,51,75,5.0,RU,1738098813
47,gulf shores,30.246,-87.7008,15.16,78,0,2.57,US,1738098814
48,beyneu,45.3167,55.2,-1.92,76,44,1.08,KZ,1738098816
49,chatham,51.3789,0.5279,8.39,94,95,7.78,GB,1738098817
50,saipan,15.1355,145.701,27.39,75,40,4.12,MP,1738098818
51,anna regina,7.2644,-58.5077,26.54,78,94,3.15,GY,1738098819
52,ribeira grande,38.5167,-28.7,18.22,88,75,9.26,PT,1738098820
53,kodiak,57.79,-152.4072,-5.27,50,0,5.14,US,1738098821
54,la passe,45.5549,-0.8967,9.81,82,16,11.31,FR,1738098822
55,waitangi,-43.9535,-176.5597,15.46,68,1,1.34,NZ,1738098823
56,nanao,37.05,136.9667,3.88,66,99,9.8,JP,1738098824
57,hadibu,12.65,54.0333,23.65,83,51,4.02,YE,1738098825
58,blackmans bay,-43.0167,147.3167,11.96,70,1,1.6,AU,1738098826
59,general toshevo,43.7,28.0333,7.29,93,7,3.58,BG,1738098827
60,enewetak,11.3474,162.3373,26.96,73,24,8.74,MH,1738098828
61,alice springs,-23.7,133.8833,25.75,38,15,4.12,AU,1738098829
62,santa marta de ortigueira,43.6833,-7.85,10.14,100,100,1.34,ES,1738098831
63,swellendam,-34.0226,20.4417,22.74,81,7,3.33,ZA,1738098832
64,ancud,-41.8697,-73.8203,16.4,67,69,4.51,CL,1738098833
65,port elizabeth,-33.918,25.5701,22.95,99,19,3.58,ZA,1738098834
66,wajir,1.7471,40.0573,30.92,33,20,4.02,KE,1738098835
67,georgetown,5.4112,100.3354,25.96,72,20,1.03,MY,1738098637
68,hermanus,-34.4187,19.2345,22.11,84,62,7.36,ZA,1738098837
69,nishinoomote,30.7333,131.0,9.99,71,100,14.39,JP,1738098838
70,afaahiti,-17.75,-149.2833,25.99,79,76,8.25,PF,1738098839
71,gandajika,-6.75,23.95,19.65,94,100,0.61,CD,1738098840
72,jamestown,42.097,-79.2353,-1.66,69,75,4.63,US,1738098841
73,puerto deseado,-47.7503,-65.8938,23.24,30,43,11.53,AR,1738098842
74,prado,-17.3411,-39.2208,26.51,79,41,4.66,BR,1738098843
75,tofol,5.3248,163.0078,27.34,80,96,6.15,FM,1738098844
76,hiroshima,34.3963,132.4594,1.97,73,43,5.62,JP,1738098773
77,monte santo,-10.4378,-39.3328,28.56,46,53,3.3,BR,1738098847
78,inhambane,-23.865,35.3833,26.44,62,71,6.86,MZ,1738098848
79,kon tum,14.35,108.0,11.64,95,88,0.95,VN,1738098849
80,nizhniy ingash,56.2,96.53,-20.59,93,100,4.08,RU,1738098850
81,suntar,62.1444,117.6319,-40.22,100,64,1.24,RU,1738098851
82,santa cruz,-17.8,-63.1667,31.7,66,40,7.72,BO,1738098852
83,gadzhiyevo,69.2551,33.3362,-2.61,89,100,6.84,RU,1738098853
84,chinde,26.8212,87.7095,14.48,62,10,2.43,NP,1738098854
85,mont-dore,-22.2833,166.5833,28.33,67,92,3.71,NC,1738098855
86,buala,-8.145,159.5921,27.15,81,98,2.09,SB,1738098856
87,klyuchi,52.2667,79.1667,-10.76,96,100,3.23,RU,1738098857
88,flin flon,54.7682,-101.865,-11.99,86,100,3.48,CA,1738098858
89,maceio,-9.6658,-35.7353,26.69,83,20,5.14,BR,1738098859
90,kapuskasing,49.4169,-82.4331,-15.11,81,100,1.83,CA,1738098860
91,zabol,32.25,67.25,0.16,84,3,0.37,AF,1738098862
92,acapulco de juarez,16.8634,-99.8901,28.9,74,40,1.54,MX,1738098863
93,port-gentil,-0.7193,8.7815,27.13,83,19,2.9,GA,1738098864
94,wailua homesteads,22.0669,-159.378,22.44,61,0,5.14,US,1738098865
95,bethel,41.3712,-73.414,0.56,31,22,4.47,US,1738098866
96,mahina,-17.5065,-149.489,30.87,62,40,5.14,PF,1738098867
97,kill devil hills,36.0307,-75.676,12.01,37,0,4.12,US,1738098868
98,horta,38.5333,-28.6333,17.8,94,75,9.26,PT,1738098869
99,bandarbeyla,9.4942,50.8122,23.28,84,0,6.08,SO,1738098870
100,stanley,54.868,-1.6985,4.18,88,75,4.12,GB,1738098871
101,hammerfest,70.6634,23.6821,-0.75,69,40,4.63,NO,1738098872
102,el alto,-4.2714,-81.2147,22.2,76,81,4.49,PE,1738098873
103,kargil,34.5667,76.1,-15.97,93,100,1.39,IN,1738098874
104,port lincoln,-34.7333,135.8667,17.15,64,50,5.21,AU,1738098875
105,dudinka,69.4058,86.1778,-31.77,97,5,2.62,RU,1738098876
106,la ronge,55.1001,-105.2842,-6.88,93,100,2.06,CA,1738098878
107,bonthe,7.5264,-12.505,25.82,85,99,3.32,SL,1738098879
108,komsomolets,53.7453,62.0708,-3.27,91,100,4.23,KZ,1738098880
109,mishkovo-pohorilove,46.9995,32.118,7.4,92,36,5.15,UA,1738098881
110,iqaluit,63.7506,-68.5145,-13.15,65,100,1.54,CA,1738098882
111,port hueneme,34.1478,-119.1951,17.92,59,0,4.12,US,1738098883
112,carnarvon,-24.8667,113.6333,29.75,63,61,5.09,AU,1738098884
